Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740268361515,6013.61247253418,4650,0,1.21875,4796.616592407227,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,85.00721740722656,0,20.79657745361328,0,99.92556762695313,28.27019500732422,58.213531494140625,3.8740158081054688,15.684921264648438,0,36.257083892822266,3.9751129150390625,34239672320,2147483648,12537331712,0
190,1740268361524,20360.904998779297,4650,0,1.2125,4797.298202514648,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,9.321403503417969,4.8798828125,0,0,100,0,34.433929443359375,1.2360153198242188,0,0,8.430595397949219,1.3189926147460938,34239672320,2147483648,12537593856,0
199,1740268361715,21547.606719970703,4650,0,1.23125,4806.663482666016,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,9.965354919433594,3.1237716674804688,1.780548095703125,0.40912628173828125,76.11284637451172,3.1136474609375,34.368186950683594,2.212066650390625,0.38067626953125,1.30657958984375,1.269775390625,2.2181777954101563,34239672320,2147483648,12549566464,0
199,1740268361915,21548.147018432617,4650,0,1.21875,4816.434982299805,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.784324645996094,1.9380416870117188,1.59332275390625,0.20062255859375,6.948020935058594,6.5083465576171875,97.85688781738281,1.430389404296875,0.48555755615234375,0.3022308349609375,0.38939666748046875,0.6452484130859375,34239672320,2147483648,12554653696,0
199,1740268362115,21548.761749267578,4650,0,1.23125,4826.134750366211,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,1.946044921875,3.1470870971679688,1.8091354370117188,0,5.46478271484375,23.319412231445313,20.401145935058594,79.96719360351563,0.13836669921875,0.6946868896484375,0.28018951416015625,1.1164474487304688,34239672320,2147483648,12566982656,0
199,1740268362315,21549.233108520508,4650,0,1.23125,4835.6705322265625,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,13.164695739746094,1.9753036499023438,1.4570236206054688,0.4058837890625,6.785636901855469,2.9315872192382813,21.681854248046875,78.59519958496094,0.5064010620117188,0.3418426513671875,1.2154998779296875,1.5617523193359375,34239672320,2147483648,12568023040,0
200,1740268362515,21549.969635009766,4650,0,1.21875,4845.333267211914,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.861091613769531,2.32879638671875,4.9874114990234375,0.2598419189453125,27.04351806640625,2.5457077026367188,75.76573944091797,2.7676239013671875,0.7566375732421875,0.6167449951171875,0.8562469482421875,0.970703125,34239672320,2147483648,12615278592,0
200,1740268362715,21551.39959716797,4650,0,1.20625,4855.041595458984,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.075187683105469,6.8522186279296875,3.5671310424804688,0.38967132568359375,74.0012435913086,5.141365051269531,30.183006286621094,6.2060546875,2.6474380493164063,0.8851165771484375,4.987464904785156,2.5441513061523438,34239672320,2147483648,12538572800,0
200,1740268362916,21551.8240814209,3720.0000000000005,0,1.20625,4864.293258666992,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.2896957397460938,1.9675750732421875,1.3796920776367188,0.1063232421875,5.671234130859375,1.8065872192382813,100,1.2979736328125,0.107177734375,0.1703033447265625,2.1375808715820313,0.44132232666015625,34239672320,2147483648,12559667200,0
199,1740268363116,21552.964294433594,4650,0,1.21875,4873.893005371094,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.866737365722656,5.596321105957031,1.6890792846679688,0.7293319702148438,47.221214294433594,17.93488311767578,39.79750061035156,14.263786315917969,0.6231765747070313,1.0295028686523438,11.743759155273438,2.6807327270507813,34239672320,2147483648,12572393472,0
