Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740333577770,46970.56790161133,4650,0,1.21875,6501.688171386719,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,50.190433502197266,40.822418212890625,37.5806999206543,28.14275360107422,49.72340393066406,39.91458511352539,66.93347930908203,39.36264419555664,87.32158660888672,9.942436218261719,37.73554229736328,26.871543884277344,34239672320,2147483648,7523450880,0
200,1740333577770,46970.58369445801,4650,0,1.19375,6501.837738037109,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,8.300819396972656,1.8309173583984375,0,2.3978652954101563,95.1775894165039,0,10.185089111328125,0,0,0,0,0,34239672320,2147483648,7523139584,0
200,1740333577971,39247.03419494629,4650,0,1.2,6511.890396118164,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,18.298477172851563,21.188499450683594,1.9287033081054688,1.8665618896484375,12.590728759765625,37.642513275146484,9.575859069824219,47.14970779418945,3.6482772827148438,6.169403076171875,10.07806396484375,4.509437561035156,34239672320,2147483648,7516577792,0
200,1740333578171,46598.08750915527,4650,0,1.2125,6522.870056152344,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,22.527259826660156,22.446426391601563,1.9879150390625,3.3112945556640625,16.610511779785156,59.080902099609375,17.327499389648438,32.92994689941406,7.240478515625,7.858024597167969,14.381759643554688,5.4306793212890625,34239672320,2147483648,7522009088,0
200,1740333578372,46973.344985961914,4650,0,1.2,6532.192413330078,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,14.717208862304688,7.882469177246094,1.5476531982421875,3.6516494750976563,7.2733001708984375,42.67156982421875,12.185691833496094,7.3529052734375,2.603607177734375,3.4780197143554688,11.323837280273438,11.332763671875,34239672320,2147483648,7551094784,0
200,1740333578572,39248.618103027344,4650,0,1.20625,6539.693923950195,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.771514892578125,1.4152755737304688,0.3951873779296875,1.4949951171875,1.1858596801757813,14.621574401855469,2.7751922607421875,2.041229248046875,0.6232070922851563,0.43726348876953125,1.5552902221679688,0.45673370361328125,34239672320,2147483648,7550853120,0
200,1740333578772,46974.03401184082,4650,0,1.2125,6547.329452514648,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.3112030029296875,2.0751495361328125,0.6558609008789063,1.6387100219726563,3.94317626953125,15.759910583496094,5.260551452636719,3.4879837036132813,1.9805374145507813,0.48389434814453125,1.8155746459960938,0.9318389892578125,34239672320,2147483648,7550738432,0
199,1740333578973,46974.231369018555,4650,0,0.96875,6554.344421386719,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.920928955078125,0.619171142578125,0.27916717529296875,1.8955612182617188,3.1622238159179688,3.2981643676757813,2.4393768310546875,2.1316909790039063,0.4464263916015625,0.6605606079101563,0.6241073608398438,0.5326461791992188,34239672320,2147483648,7548887040,0
200,1740333579173,46599.437240600586,4650,0,1.20625,6561.315383911133,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,8.764778137207031,0.19062042236328125,0.2801361083984375,1.5942001342773438,0.6459884643554688,3.6151275634765625,4.136466979980469,1.8249053955078125,0.5115432739257813,0.082916259765625,0.7516403198242188,0.28278350830078125,34239672320,2147483648,7548878848,0
200,1740333579373,46974.58381652832,3720.0000000000005,0,1.2,6568.104095458984,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.81549072265625,0.249176025390625,0.2184600830078125,1.5847015380859375,1.3179473876953125,3.246368408203125,1.9243240356445313,1.3572006225585938,0.44730377197265625,0.17140960693359375,0.187744140625,0.28728485107421875,34239672320,2147483648,7548878848,0
200,1740333579574,46599.777755737305,4650,0,1.20625,6574.959060668945,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.820526123046875,0.3485565185546875,0.09723663330078125,1.5344772338867188,1.3320693969726563,3.2126083374023438,3.9572372436523438,1.2188644409179688,0.30857086181640625,0,0.27507781982421875,0.37461090087890625,34239672320,2147483648,7548559360,0
199,1740333579774,46975.00451660156,4650,0,1.20625,6582.058486938477,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.2612152099609375,2.152435302734375,0.40729522705078125,1.9115982055664063,3.8469390869140625,5.676078796386719,4.593353271484375,3.8687744140625,0.38105010986328125,0.798858642578125,1.2613601684570313,0.8488540649414063,34239672320,2147483648,7550291968,0
199,1740333579974,46600.21032714844,4650,0,1.20625,6589.00798034668,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.9849090576171875,0.4174652099609375,0.526702880859375,1.3191986083984375,1.3085784912109375,3.921142578125,4.067779541015625,1.99462890625,0.1403045654296875,0.4310760498046875,0.42708587646484375,0.30518341064453125,34239672320,2147483648,7550255104,0
200,1740333580174,46975.362564086914,4650,0,1.20625,6595.991287231445,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.5739364624023438,0.32489776611328125,0.14102935791015625,1.2612686157226563,1.8061065673828125,2.9367599487304688,1.4158782958984375,1.672637939453125,0,0.02098846435546875,0.172393798828125,0.1762542724609375,34239672320,2147483648,7550275584,0
200,1740333580374,39250.294692993164,4650,0,1.2,6602.79328918457,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.267333984375,0,0.14019012451171875,1.1968765258789063,1.1724700927734375,2.3590927124023438,1.0519866943359375,1.1424102783203125,0,0,0.129486083984375,0,34239672320,2147483648,7550296064,0
200,1740333580575,39250.47302246094,4650,0,1.2,6609.8258056640625,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.741798400878906,0.49481201171875,0.5136337280273438,1.577362060546875,1.9106216430664063,4.133941650390625,2.7776412963867188,1.9606246948242188,0.46448516845703125,0.39710235595703125,1.0795135498046875,0.3981475830078125,34239672320,2147483648,7549612032,0
200,1740333580775,46975.89041137695,4650,0,1.20625,6616.8082275390625,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.8083953857421875,0.37218475341796875,0.322723388671875,1.2630233764648438,1.7486953735351563,3.9068145751953125,1.734527587890625,1.4007339477539063,0.38164520263671875,0,0.15602874755859375,0.09375762939453125,34239672320,2147483648,7549595648,0
200,1740333580975,46976.25405883789,3720.0000000000005,0,1.20625,6624.563537597656,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.144775390625,9.432624816894531,0.47521209716796875,1.73565673828125,21.935836791992188,3.8403472900390625,3.0813217163085938,13.726463317871094,1.5067672729492188,0.38690185546875,0.5949249267578125,0.754730224609375,34239672320,2147483648,7550279680,0
200,1740333581176,46976.54690551758,4650,0,1.2,6631.755142211914,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.246070861816406,0.809967041015625,0.212677001953125,1.6171493530273438,14.523750305175781,3.8023605346679688,5.8335418701171875,4.344932556152344,0.190338134765625,0.275726318359375,0.6742019653320313,0.17636871337890625,34239672320,2147483648,7550246912,0
