Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740334238256,47908.46691894531,4650,0,1.20625,29523.0565032959,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,88.15959930419922,2.180816650390625,15.572731018066406,8.102195739746094,43.122310638427734,29.06580352783203,50.11997985839844,6.745948791503906,47.494529724121094,1.8408737182617188,12.917869567871094,2.2008132934570313,34239672320,2147483648,7520628736,0
199,1740334238257,47908.48840332031,4650,0,1.2125,29523.284622192383,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,73.3276138305664,7.4156646728515625,4.834190368652344,3.9279556274414063,87.39279174804688,5.205833435058594,17.73870849609375,17.10120391845703,19.694114685058594,4.6112060546875,6.1520843505859375,13.270439147949219,34239672320,2147483648,7520067584,0
200,1740334238457,47514.37187194824,4650,0,1.20625,29533.724411010742,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,21.861404418945313,21.40142059326172,1.3001708984375,1.936798095703125,22.209152221679688,34.62499237060547,13.557968139648438,37.99079132080078,6.0433197021484375,3.8310089111328125,15.663078308105469,5.972770690917969,34239672320,2147483648,7509041152,0
200,1740334238657,47515.404052734375,3720.0000000000005,0,1.20625,29544.603744506836,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,34.49665832519531,10.9600830078125,1.7271652221679688,3.467254638671875,8.637962341308594,44.865028381347656,17.688552856445313,43.514251708984375,5.332275390625,6.414970397949219,14.240013122558594,10.944755554199219,34239672320,2147483648,7562010624,0
200,1740334238857,47515.65774536133,4650,0,1.2,29552.34390258789,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.08831787109375,2.1423721313476563,0.24877166748046875,1.4723358154296875,1.7118988037109375,16.357017517089844,5.586036682128906,2.175933837890625,0.214813232421875,0.2734222412109375,0.35861968994140625,0.9186630249023438,34239672320,2147483648,7564308480,0
200,1740334239058,47911.0460357666,3720.0000000000005,0,1.20625,29560.18424987793,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,9.489822387695313,3.623992919921875,0.34908294677734375,1.53411865234375,4.285194396972656,15.796867370605469,3.9525680541992188,5.399757385253906,0.4526214599609375,0.27315521240234375,1.172088623046875,1.3347930908203125,34239672320,2147483648,7566286848,0
200,1740334239258,47911.36854553223,3720.0000000000005,0,1.20625,29567.82745361328,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.9585723876953125,2.147735595703125,0.29528045654296875,1.3741531372070313,1.9869308471679688,12.517524719238281,3.1330490112304688,2.7336502075195313,1.9323501586914063,0.416107177734375,0.7525711059570313,0.5920181274414063,34239672320,2147483648,7565008896,0
200,1740334239458,40004.21156311035,4650,0,1.20625,29574.762664794922,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.730537414550781,1.8953704833984375,0.07183837890625,1.55419921875,1.6979293823242188,3.8937149047851563,3.1685256958007813,1.9674072265625,0,0.0556182861328125,0.3497314453125,0.24324798583984375,34239672320,2147483648,7564386304,0
200,1740334239658,47911.81265258789,4650,0,1.1875,29581.99299621582,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.011688232421875,1.8400039672851563,0.07862091064453125,1.6207656860351563,9.641342163085938,2.3933639526367188,1.6231155395507813,1.602935791015625,0.22967529296875,0.08941650390625,0.7467193603515625,0.33037567138671875,34239672320,2147483648,7565770752,0
199,1740334239859,40004.60809326172,4650,0,1.2,29588.912536621094,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.550483703613281,2.0141067504882813,0.23580169677734375,1.47174072265625,1.322021484375,2.6273422241210938,2.8826370239257813,1.281280517578125,0.2217864990234375,0.14647674560546875,0.351654052734375,0.24961090087890625,34239672320,2147483648,7565778944,0
200,1740334240059,47912.253158569336,4650,0,1.1875,29596.2391204834,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.259269714355469,2.9069900512695313,0.8182754516601563,1.4401016235351563,5.4129486083984375,4.7121429443359375,3.3914108276367188,4.807868957519531,0.19519805908203125,0.44537353515625,0.42278289794921875,1.0913467407226563,34239672320,2147483648,7565717504,0
200,1740334240260,47912.441482543945,4650,0,1.21875,29603.150436401367,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.8456878662109375,1.8790206909179688,0.4271392822265625,1.4148406982421875,2.0182342529296875,3.97088623046875,2.0551223754882813,1.5575027465820313,0.1331787109375,0.18144989013671875,0.265411376953125,0.2755889892578125,34239672320,2147483648,7568498688,0
200,1740334240460,47912.63456726074,4650,0,1.1875,29610.151077270508,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.7324295043945313,1.601043701171875,0.075347900390625,1.4513015747070313,2.0958404541015625,3.78082275390625,2.8225173950195313,1.1929931640625,0,0.021331787109375,0.1476898193359375,0.35284423828125,34239672320,2147483648,7568506880,0
199,1740334240660,40005.388412475586,4650,0,1.21875,29617.19303894043,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,5.109748840332031,1.9021835327148438,0.5101242065429688,1.5495529174804688,1.20660400390625,3.14093017578125,2.9289016723632813,1.4033737182617188,0.2578277587890625,0.2464599609375,0.37879180908203125,0.5441665649414063,34239672320,2147483648,7568486400,0
200,1740334240860,47912.985610961914,3720.0000000000005,0,1.2,29624.264068603516,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.5101547241210938,1.5689239501953125,0.08516693115234375,0.9990234375,0.844879150390625,2.6748504638671875,5.25701904296875,1.130828857421875,0,0.1005401611328125,0.0235443115234375,0.00380706787109375,34239672320,2147483648,7568449536,0
200,1740334241060,47518.141677856445,4650,0,1.2,29632.074584960938,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.9156036376953125,18.354530334472656,0.34291839599609375,1.791534423828125,2.5634689331054688,4.1467437744140625,3.51165771484375,22.9854736328125,0.2055206298828125,1.6767654418945313,0.636932373046875,0.55902099609375,34239672320,2147483648,7567818752,0
200,1740334241261,47913.52169799805,4650,0,1.2,29639.467376708984,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.2736663818359375,1.6183547973632813,0,1.3091659545898438,3.712890625,5.832679748535156,2.12994384765625,15.811668395996094,0.0136566162109375,0,0.36870574951171875,0.5692596435546875,34239672320,2147483648,7568510976,0
200,1740334241461,47913.703201293945,4650,0,1.1875,29646.494369506836,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.8228836059570313,2.459625244140625,0.301239013671875,1.5499649047851563,2.3734130859375,2.8087158203125,2.6167831420898438,1.2976608276367188,0.28582763671875,0.39144134521484375,0.26531982421875,0.37792205810546875,34239672320,2147483648,7568535552,0
200,1740334241662,30377.833557128906,4650,0,1.2,29653.491104125977,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.3816299438476563,1.7542877197265625,0.10295867919921875,1.2231597900390625,1.1582183837890625,2.2368545532226563,2.5360336303710938,1.7971954345703125,0.28993988037109375,0.10390472412109375,1.9206390380859375,0.2888946533203125,34239672320,2147483648,7568510976,0
199,1740334241862,47519.012954711914,4650,0,1.2,29660.440368652344,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.3324050903320313,1.1563720703125,0.1020660400390625,1.273468017578125,1.8201980590820313,2.1322555541992188,4.202308654785156,1.2450714111328125,0.18985748291015625,0,0.21624755859375,0.04662322998046875,34239672320,2147483648,7568486400,0
200,1740334242062,47914.326889038086,4650,0,1.1875,29667.84519958496,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.834625244140625,2.9842758178710938,0.6638565063476563,1.5675125122070313,6.0974578857421875,3.2213897705078125,3.4051437377929688,5.502815246582031,0.5243301391601563,0.4939117431640625,1.1258544921875,0.7661285400390625,34239672320,2147483648,7568465920,0
200,1740334242262,47519.47798156738,4650,0,1.2375,29674.79377746582,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.8065414428710938,2.0388031005859375,0.3641510009765625,1.2936172485351563,2.4525985717773438,1.7788238525390625,4.3258056640625,1.4576187133789063,0.144622802734375,0.140625,0.3540191650390625,0.31861114501953125,34239672320,2147483648,7568461824,0
200,1740334242462,40007.34030151367,4650,0,1.19375,29681.310516357422,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.3610382080078125,1.3540420532226563,0.22872161865234375,1.2988128662109375,2.1482772827148438,2.7012786865234375,3.1526260375976563,1.2965621948242188,0,0.00250244140625,0.2393341064453125,0.049224853515625,34239672320,2147483648,7568470016,0
