Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740440757215,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.4524917602539063,1.2719879150390625,9.487838745117188,1.2804107666015625,59.47260665893555,1.2587661743164063,42.06548309326172,1.3252944946289063,10.847190856933594,1.3593521118164063,4.425117492675781,2.8389358520507813,7456.648010253906,4096,241,56,4,87212.29418945313,78065.12573242188,732.834716796875,16976154624,5100273664,7850688512,0
198,1740440757216,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.543067932128906,3.2734603881835938,8.793807983398438,3.2111740112304688,78.66985321044922,5.267364501953125,17.845993041992188,10.440155029296875,18.302757263183594,3.3342056274414063,31.205108642578125,56.070159912109375,7456.6683349609375,4096,241,56,4,87212.6597290039,78065.46282958984,732.8369140625,16976154624,5100273664,7856431104,0
201,1740440757415,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.0788650512695313,0.74114990234375,12.998672485351563,1.1317367553710938,74.84806823730469,1.1481475830078125,27.705734252929688,0.7157058715820313,3.9174957275390625,0.5809249877929688,6.22869873046875,2.2360076904296875,7456.868408203125,4096,241,56,4,87217.2006225586,78069.72296142578,732.8634643554688,16976154624,5100273664,7897133056,0
200,1740440757617,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.1392822265625,0.43587493896484375,30.169960021972656,0.47615814208984375,11.087181091308594,7.639892578125,8.849105834960938,1.4721908569335938,2.8889007568359375,3.7002716064453125,10.23699951171875,2.2870407104492188,7457.069396972656,4096,241,56,3,87218.4556274414,78070.71563720703,732.8939208984375,16976154624,5100273664,7897477120,0
200,1740440757818,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.275421142578125,0.37569427490234375,22.760108947753906,0.6170501708984375,2.1120071411132813,5.909576416015625,5.3521881103515625,2.2453460693359375,1.5222244262695313,2.3338623046875,8.931587219238281,1.6644210815429688,7457.274841308594,4096,241,56,4,87219.3657836914,78071.37280273438,732.9174194335938,16976154624,5100273664,7897231360,0
200,1740440758019,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.189445495605469,4.304435729980469,18.729820251464844,1.6760177612304688,19.973899841308594,4.3393096923828125,8.190238952636719,2.4728927612304688,5.521537780761719,1.2331161499023438,11.68798828125,1.6387405395507813,7457.488952636719,4096,241,56,4,87220.69604492188,78072.45959472656,732.9404907226563,16976154624,5100273664,7895195648,0
200,1740440758219,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.846832275390625,0.170379638671875,14.781692504882813,5.366371154785156,0.6204910278320313,5.086174011230469,3.4601364135742188,5.4486541748046875,0.40515899658203125,2.78656005859375,7.149345397949219,0.872039794921875,7457.698181152344,4096,241,56,4,87222.0546875,78073.57696533203,732.964599609375,16976154624,5100273664,7898705920,0
200,1740440758421,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.308006286621094,0.6068801879882813,18.672203063964844,0.5795974731445313,4.134452819824219,5.6947174072265625,2.8869552612304688,1.6962890625,1.3260955810546875,2.7347793579101563,9.436859130859375,2.7403945922851563,7457.908752441406,4096,241,56,4,87222.77429199219,78074.04998779297,732.986328125,16976154624,5100273664,7898288128,0
200,1740440758621,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.017723083496094,0.7273101806640625,24.675643920898438,0.6128311157226563,4.01348876953125,5.556549072265625,5.744987487792969,1.5165252685546875,2.5605010986328125,3.0842437744140625,8.623283386230469,4.0523223876953125,7458.114318847656,4096,241,56,4,87223.66534423828,78074.67462158203,733.0096435546875,16976154624,5100273664,7890812928,0
200,1740440758823,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.621208190917969,0.3463287353515625,21.999244689941406,0.019195556640625,1.4755325317382813,3.3971710205078125,5.787834167480469,0.9517364501953125,0.571990966796875,2.4789505004882813,8.561729431152344,1.7247695922851563,7458.317687988281,4096,241,56,4,87224.5756225586,78075.32440185547,733.0340576171875,16976154624,5100273664,7890386944,0
200,1740440759023,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.606422424316406,2.3305892944335938,20.79607391357422,0.22827911376953125,25.74852752685547,2.9797134399414063,3.942138671875,0.5163192749023438,0.33547210693359375,1.720458984375,7.090476989746094,1.868927001953125,7458.5233154296875,4096,241,56,4,87225.68493652344,78076.17749023438,733.05810546875,16976154624,5100273664,7888179200,0
200,1740440759225,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.680816650390625,0.9591903686523438,19.299827575683594,0.2999114990234375,2.4291610717773438,3.8778915405273438,5.975364685058594,5.463493347167969,0.93701171875,1.7411727905273438,10.517433166503906,2.5943832397460938,7458.728515625,4096,241,56,4,87226.64489746094,78076.8871459961,733.0840454101563,16976154624,5100273664,7891841024,0
199,1740440759425,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.9619140625,0.41541290283203125,21.861465454101563,2.011688232421875,4.323249816894531,5.400421142578125,5.064888000488281,1.2075347900390625,1.1554107666015625,2.6523590087890625,7.8831787109375,2.4271469116210938,7458.9300537109375,4096,241,56,4,87227.3046875,78077.30377197266,733.1079711914063,16976154624,5100273664,7891435520,0
