Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742768718079,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.26837158203125,53.39578628540039,54.53333282470703,53.93166732788086,52.780738830566406,55.24836349487305,52.645198822021484,53.90275192260742,52.80895233154297,50.42321014404297,NaN,NaN,100,50,0,0,0,0,0,0,13.487102508544922,17179869184,2147483648,12872040448,748290048
204,1742768718079,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.26837158203125,53.39578628540039,54.53333282470703,53.93166732788086,52.780738830566406,55.24836349487305,52.645198822021484,53.90275192260742,52.80895233154297,50.42321014404297,0,100,100,0,100,100,0,0,0,0,13.487102508544922,17179869184,2147483648,12872040448,748290048
201,1742768718284,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.26837158203125,53.39578628540039,54.53333282470703,53.93166732788086,52.780738830566406,55.24836349487305,52.645198822021484,53.90275192260742,52.80895233154297,50.42321014404297,38.095237731933594,38.095237731933594,52.38095474243164,52.6315803527832,47.619049072265625,19.047618865966797,19.047618865966797,0,0,0,14.19895076751709,17179869184,2147483648,12901433344,748290048
202,1742768718485,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.26837158203125,53.39578628540039,54.53333282470703,53.93166732788086,52.780738830566406,55.24836349487305,52.645198822021484,53.90275192260742,52.80895233154297,50.42321014404297,35,35,57.894737243652344,47.619049072265625,30.000001907348633,31.57894515991211,15.000000953674316,0,0,0,14.19895076751709,17179869184,2147483648,12917358592,748290048
200,1742768718688,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,53.26837158203125,53.39578628540039,54.53333282470703,53.93166732788086,52.780738830566406,55.24836349487305,52.645198822021484,53.90275192260742,52.80895233154297,50.42321014404297,45,45,65,65,55,35,21.052631378173828,20,10.526315689086914,14.285715103149414,14.19895076751709,17179869184,2147483648,12923273216,748290048
204,1742768718889,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.61320114135742,52.73407745361328,53.37065124511719,53.017547607421875,51.95069122314453,54.14268112182617,51.96939468383789,53.21498107910156,52.393394470214844,49.94108581542969,40,35,55,55,23.809524536132813,9.523809432983398,50,23.809524536132813,4.761904716491699,4.761904716491699,14.19895076751709,17179869184,2147483648,12927483904,748290048
202,1742768719094,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.61320114135742,52.73407745361328,53.37065124511719,53.017547607421875,51.95069122314453,54.14268112182617,51.96939468383789,53.21498107910156,52.393394470214844,49.94108581542969,35,38.095237731933594,47.619049072265625,80,55,30.000001907348633,54.54545593261719,45,35,25,14.19895076751709,17179869184,2147483648,12937117696,748290048
203,1742768719296,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.61320114135742,52.73407745361328,53.37065124511719,53.017547607421875,51.95069122314453,54.14268112182617,51.96939468383789,53.21498107910156,52.393394470214844,49.94108581542969,25,26.3157901763916,61.904762268066406,52.38095474243164,36.842105865478516,35,70,50,14.285715103149414,0,12.508719444274902,17179869184,2147483648,12954664960,748290048
204,1742768719500,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.61320114135742,52.73407745361328,53.37065124511719,53.017547607421875,51.95069122314453,54.14268112182617,51.96939468383789,53.21498107910156,52.393394470214844,49.94108581542969,26.3157901763916,25,60.000003814697266,30.000001907348633,47.619049072265625,15.000000953674316,10,20,0,4.761904716491699,12.508719444274902,17179869184,2147483648,12966739968,748290048
204,1742768719705,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,52.61320114135742,52.73407745361328,53.37065124511719,53.017547607421875,51.95069122314453,54.14268112182617,51.96939468383789,53.21498107910156,52.393394470214844,49.94108581542969,9.523809432983398,10,60.000003814697266,10,20,38.095237731933594,10,4.761904716491699,0,5,12.508719444274902,17179869184,2147483648,12970524672,748290048
