Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742767849365,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,41.80648422241211,42.9169921875,42.056640625,41.40502166748047,40.022308349609375,42.89118957519531,41.38402557373047,42.20206832885742,42.339881896972656,40.70386505126953,0,0,0,50,0,0,0,0,0,0,5.0716705322265625,17179869184,2147483648,12558958592,790233088
204,1742767849365,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,41.80648422241211,42.9169921875,42.056640625,41.40502166748047,40.022308349609375,42.89118957519531,41.38402557373047,42.20206832885742,42.339881896972656,40.70386505126953,0,100,50,NaN,0,0,0,0,0,0,5.0716705322265625,17179869184,2147483648,12561399808,790233088
204,1742767849570,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,41.80648422241211,42.9169921875,42.056640625,41.40502166748047,40.022308349609375,42.89118957519531,41.38402557373047,42.20206832885742,42.339881896972656,40.70386505126953,9.523809432983398,9.523809432983398,10.526315689086914,42.85714340209961,4.761904716491699,0,4.761904716491699,4.761904716491699,0,0,5.0716705322265625,17179869184,2147483648,12569690112,790233088
204,1742767849775,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,42.460453033447266,42.94329071044922,43.42102813720703,43.09294509887695,40.946266174316406,43.50828170776367,41.85491943359375,42.81865692138672,42.72335433959961,40.9534912109375,15.000000953674316,10,25,42.105262756347656,0,0,0,0,0,0,5.0716705322265625,17179869184,2147483648,12569690112,790233088
204,1742767849980,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,42.460453033447266,42.94329071044922,43.42102813720703,43.09294509887695,40.946266174316406,43.50828170776367,41.85491943359375,42.81865692138672,42.72335433959961,40.9534912109375,20,21.052631378173828,45.45454788208008,38.095237731933594,5,4.761904716491699,0,5,0,0,5.0716705322265625,17179869184,2147483648,12597985280,790233088
203,1742767850185,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,42.460453033447266,42.94329071044922,43.42102813720703,43.09294509887695,40.946266174316406,43.50828170776367,41.85491943359375,42.81865692138672,42.72335433959961,40.9534912109375,20,19.047618865966797,47.36842346191406,45,23.809524536132813,4.761904716491699,9.523809432983398,4.761904716491699,0,0,5.0716705322265625,17179869184,2147483648,12608520192,790233088
201,1742767850389,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,42.460453033447266,42.94329071044922,43.42102813720703,43.09294509887695,40.946266174316406,43.50828170776367,41.85491943359375,42.81865692138672,42.72335433959961,40.9534912109375,15.000000953674316,23.809524536132813,42.85714340209961,47.619049072265625,10.526315689086914,15.000000953674316,5,0,0,0,3.6429665088653564,17179869184,2147483648,12617007104,790233088
204,1742767850591,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,42.460453033447266,42.94329071044922,43.42102813720703,43.09294509887695,40.946266174316406,43.50828170776367,41.85491943359375,42.81865692138672,42.72335433959961,40.9534912109375,35,50,35,65,19.047618865966797,10,4.761904716491699,0,0,0,3.6429665088653564,17179869184,2147483648,12656246784,790233088
204,1742767850796,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.16230773925781,44.145240783691406,46.58439636230469,46.14179992675781,43.028160095214844,45.30006790161133,42.8076057434082,44.65678787231445,44.0927619934082,42.53288269042969,47.619049072265625,45,50,47.619049072265625,23.809524536132813,30.000001907348633,20,15.000000953674316,14.285715103149414,19.047618865966797,3.6429665088653564,17179869184,2147483648,12665896960,790233088
7,1742767851001,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,44.16230773925781,44.145240783691406,46.58439636230469,46.14179992675781,43.028160095214844,45.30006790161133,42.8076057434082,44.65678787231445,44.0927619934082,42.53288269042969,50,45,61.904762268066406,45,42.105262756347656,40,35,33.333335876464844,28.571430206298828,30.000001907348633,3.6429665088653564,17179869184,2147483648,12591333376,790233088
