Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742768577400,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86896896362305,50.30523681640625,51.129058837890625,50.457862854003906,50.08937072753906,52.43067169189453,50.28227233886719,51.31541061401367,50.572933197021484,48.44995880126953,0,0,0,0,0,0,0,0,0,0,7.390307903289795,17179869184,2147483648,12739444736,748290048
204,1742768577400,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86896896362305,50.30523681640625,51.129058837890625,50.457862854003906,50.08937072753906,52.43067169189453,50.28227233886719,51.31541061401367,50.572933197021484,48.44995880126953,0,0,NaN,0,0,0,0,0,0,0,7.390307903289795,17179869184,2147483648,12741869568,748290048
204,1742768577605,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.86896896362305,50.30523681640625,51.129058837890625,50.457862854003906,50.08937072753906,52.43067169189453,50.28227233886719,51.31541061401367,50.572933197021484,48.44995880126953,23.809524536132813,23.809524536132813,90.47618865966797,4.761904716491699,0,0,0,0,0,0,7.390307903289795,17179869184,2147483648,12764741632,748290048
204,1742768577810,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.2014274597168,48.66710662841797,49.072242736816406,47.87659454345703,46.73518371582031,49.607059478759766,47.60849380493164,48.72774124145508,48.607540130615234,46.438011169433594,10,10,71.42857360839844,30.000001907348633,19.047618865966797,0,0,0,0,0,7.390307903289795,17179869184,2147483648,12828983296,748290048
205,1742768578015,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.2014274597168,48.66710662841797,49.072242736816406,47.87659454345703,46.73518371582031,49.607059478759766,47.60849380493164,48.72774124145508,48.607540130615234,46.438011169433594,23.809524536132813,15.000000953674316,70,38.095237731933594,10.526315689086914,14.285715103149414,23.809524536132813,0,5,0,7.390307903289795,17179869184,2147483648,12809912320,748290048
204,1742768578220,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.2014274597168,48.66710662841797,49.072242736816406,47.87659454345703,46.73518371582031,49.607059478759766,47.60849380493164,48.72774124145508,48.607540130615234,46.438011169433594,25,30.000001907348633,57.142860412597656,52.38095474243164,40.90909194946289,35,47.619049072265625,28.571430206298828,19.047618865966797,23.809524536132813,7.390307903289795,17179869184,2147483648,12836634624,748290048
202,1742768578425,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.2014274597168,48.66710662841797,49.072242736816406,47.87659454345703,46.73518371582031,49.607059478759766,47.60849380493164,48.72774124145508,48.607540130615234,46.438011169433594,9.523809432983398,4.761904716491699,19.047618865966797,26.3157901763916,10,80.95238494873047,10,0,5,4.761904716491699,12.646122932434082,17179869184,2147483648,12856999936,748290048
203,1742768578628,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.2014274597168,48.66710662841797,49.072242736816406,47.87659454345703,46.73518371582031,49.607059478759766,47.60849380493164,48.72774124145508,48.607540130615234,46.438011169433594,21.052631378173828,25,31.57894515991211,28.571430206298828,19.047618865966797,52.6315803527832,20,5,0,0,12.646122932434082,17179869184,2147483648,12849348608,748290048
204,1742768578832,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.471214294433594,49.464046478271484,50.47381591796875,49.881919860839844,48.41686248779297,52.17534637451172,49.22264099121094,50.178218841552734,50.06553268432617,47.46973419189453,20,25,19.047618865966797,94.73684692382813,10.526315689086914,13.636363983154297,10.526315689086914,9.523809432983398,9.523809432983398,5,12.646122932434082,17179869184,2147483648,12865257472,748290048
9,1742768579037,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.471214294433594,49.464046478271484,50.47381591796875,49.881919860839844,48.41686248779297,52.17534637451172,49.22264099121094,50.178218841552734,50.06553268432617,47.46973419189453,19.047618865966797,14.285715103149414,25,19.047618865966797,9.523809432983398,5,9.090909004211426,5,4.761904716491699,5,12.646122932434082,17179869184,2147483648,12753928192,748290048
