Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743005407512,44028.44331359863,4650,0,1.19375,53648.59475708008,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,79.58294677734375,1.5434799194335938,2.94970703125,13.475921630859375,48.99055480957031,19.505325317382813,39.787837982177734,34.8919677734375,18.58905029296875,6.981117248535156,22.666824340820313,6.494804382324219,34239672320,34583793664,13529399296,0
190,1743005407521,44028.508529663086,4650,0,1.2125,53649.407943725586,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,72.04148864746094,1.8678359985351563,0.27442169189453125,8.926803588867188,55.30105209350586,6.791191101074219,30.56330108642578,26.884429931640625,5.183021545410156,1.3861236572265625,16.34577178955078,3.85296630859375,34239672320,34583793664,13531901952,0
199,1743005407712,47799.520446777344,3720.0000000000005,0,1.20625,53659.61901855469,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,14.462638854980469,6.6334991455078125,1.8655853271484375,5.092987060546875,48.506736755371094,17.5379638671875,45.77042770385742,5.452522277832031,4.566398620605469,3.1724777221679688,8.070953369140625,3.4503173828125,34239672320,34583793664,13597433856,0
200,1743005407912,47800.30583190918,4650,0,1.2125,53669.79753112793,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.340301513671875,5.553993225097656,2.56524658203125,1.5860977172851563,61.509361267089844,1.1775360107421875,23.6033935546875,10.957603454589844,9.247489929199219,8.52685546875,2.5041656494140625,1.7966766357421875,34239672320,34583793664,13616959488,0
200,1743005408112,47801.18440246582,4650,0,1.2,53679.92268371582,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.2909393310546875,2.3106307983398438,1.0585861206054688,1.7326202392578125,70.20486450195313,3.0962066650390625,34.23906707763672,3.9654388427734375,1.2400131225585938,1.56951904296875,2.7001266479492188,1.8121795654296875,34239672320,34583793664,13636521984,0
200,1743005408312,47802.09881591797,4650,0,1.2,53689.989822387695,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,13.566741943359375,1.784881591796875,0.281341552734375,1.5391006469726563,59.72700119018555,2.6653594970703125,32.932289123535156,11.741157531738281,6.8863067626953125,1.0405502319335938,3.650177001953125,0.9460067749023438,34239672320,34583793664,13650063360,0
200,1743005408513,22625.387252807617,4650,0,1.19375,53699.98162841797,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,5.973991394042969,1.498809814453125,0.6310958862304688,4.360740661621094,100,0.2398529052734375,1.1231689453125,9.979133605957031,2.9467544555664063,0.5567474365234375,2.34881591796875,0.635589599609375,34239672320,34583793664,13651656704,0
199,1743005408713,22626.00440979004,4650,0,1.2125,53711.13195800781,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,14.930641174316406,6.0292816162109375,3.8758316040039063,1.24822998046875,74.67133331298828,4.81903076171875,0,100,1.3819732666015625,0.4035491943359375,13.452796936035156,5.233039855957031,34239672320,34583793664,13653897216,0
199,1743005408913,47805.17416381836,4650,0,1.2125,53722.3293762207,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,24.111968994140625,13.491035461425781,1.8852386474609375,1.4949417114257813,78.12562561035156,1.4191131591796875,2.2874603271484375,90.80143737792969,3.1199798583984375,0.8247451782226563,2.1368179321289063,1.6089019775390625,34239672320,34583793664,13659852800,0
199,1743005409113,44039.56546020508,3720.0000000000005,0,1.2125,53732.25617980957,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.783454895019531,3.0593338012695313,0.47087860107421875,1.5975799560546875,73.97626495361328,1.423614501953125,25.39324951171875,4.579231262207031,3.2340927124023438,0.6380615234375,1.274383544921875,0.9213180541992188,34239672320,34583793664,13662347264,0
200,1743005409313,47806.70324707031,4650,0,1.20625,53742.69398498535,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,26.25421142578125,5.724769592285156,5.026847839355469,2.0235595703125,66.2945556640625,4.683586120605469,23.623519897460938,13.363021850585938,9.536445617675781,5.96600341796875,9.521408081054688,2.372772216796875,34239672320,34583793664,13683187712,0
