Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743007065556,47188.14863586426,4650,0,1.2,47583.10151672363,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,35.248634338378906,13.141067504882813,33.130104064941406,0.25579833984375,39.60783386230469,35.86505889892578,58.423648834228516,3.6581497192382813,3.636993408203125,27.01587677001953,75.19786071777344,0,34239672320,34583793664,13534220288,0
197,1743007065558,47188.17182922363,4650,0,1.2125,47583.43566894531,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,59.77854537963867,0,72.13938903808594,0,22.11553955078125,0,55.46080017089844,0,0,17.81568145751953,0,6.5780029296875,34239672320,34583793664,13533016064,0
200,1743007065756,47189.343688964844,4650,0,1.2,47593.36018371582,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,14.941848754882813,15.904945373535156,3.1860275268554688,1.3092422485351563,51.334476470947266,18.778114318847656,44.24674987792969,6.054290771484375,4.957466125488281,2.5383834838867188,9.259391784667969,11.322914123535156,34239672320,34583793664,13592064000,0
200,1743007065956,24592.886642456055,4650,0,1.19375,47602.91554260254,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.8643646240234375,1.7690277099609375,1.8261642456054688,0.22332000732421875,89.80912017822266,0.7651138305664063,11.091850280761719,2.77069091796875,1.8835525512695313,0.41017913818359375,7.676078796386719,0.33795166015625,34239672320,34583793664,13611732992,0
199,1743007066156,24593.55630493164,4650,0,1.21875,47613.496994018555,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,20.350082397460938,9.934516906738281,3.933868408203125,2.8467254638671875,88.96247100830078,2.0353775024414063,75.77548217773438,1.5419692993164063,3.1872711181640625,8.892181396484375,6.499382019042969,3.6904296875,34239672320,34583793664,13632864256,0
199,1743007066356,24594.368377685547,4650,0,1.2125,47624.302322387695,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,30.92339324951172,7.636238098144531,1.91839599609375,0.5586471557617188,95.38733673095703,3.2148666381835938,75.1069107055664,2.397064208984375,4.767547607421875,1.0918197631835938,1.8693313598632813,3.6097564697265625,34239672320,34583793664,13639905280,0
200,1743007066556,50583.842864990234,4650,0,1.2,47633.94381713867,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.1820068359375,1.077728271484375,1.2707366943359375,0.6158523559570313,14.333404541015625,41.63650131225586,64.62928771972656,1.0756072998046875,0.895843505859375,0.29299163818359375,0.8735809326171875,1.4720611572265625,34239672320,34583793664,13639319552,0
200,1743007066757,47195.655181884766,3720.0000000000005,0,1.20625,47643.430725097656,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.267280578613281,1.2487869262695313,1.1884765625,0,44.839107513427734,7.8815765380859375,46.424346923828125,2.2636642456054688,2.0200729370117188,0,3.3068466186523438,0.23625946044921875,34239672320,34583793664,13657096192,0
200,1743007066957,50585.9518737793,4650,0,1.20625,47653.14028930664,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,8.389961242675781,3.6602325439453125,2.0009765625,1.0355453491210938,54.15523910522461,2.864288330078125,48.874847412109375,4.926551818847656,3.5382080078125,1.0121078491210938,6.444282531738281,1.6075897216796875,34239672320,34583793664,13647847424,0
199,1743007067157,47198.38340759277,4650,0,1.2125,47663.02897644043,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,8.031959533691406,4.591667175292969,2.064056396484375,0.27144622802734375,85.66433715820313,5.164039611816406,14.016952514648438,6.522453308105469,3.4111557006835938,1.1598892211914063,2.6590652465820313,2.028350830078125,34239672320,34583793664,13661876224,0
