Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742840465790,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,14.869697570800781,18.180503845214844,12.237991333007813,2.7457809448242188,17.14154052734375,1.8876113891601563,32.05193328857422,2.3523941040039063,10.055023193359375,3.2409133911132813,4.0699462890625,3.6836166381835938,3699.7959594726563,6144,189,6419,61,0,49062.56823730469,22217.059448242188,1143.381591796875,17012056064,4030738432,6992441344,0
199,1742840465790,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,6.6096038818359375,22.64356231689453,29.83222198486328,11.069900512695313,58.955284118652344,3.3896331787109375,36.237823486328125,5.8112945556640625,19.506858825683594,5.130592346191406,43.98435974121094,5.890045166015625,3699.8303833007813,6144,189,5528,61,0,49063.18371582031,22217.327758789063,1143.381591796875,17012056064,4030738432,6996987904,0
200,1742840465990,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,36.31705093383789,1.8664398193359375,3.0987396240234375,0.6569595336914063,91.42239379882813,2.5690994262695313,7.186859130859375,0.5745391845703125,14.664039611816406,0.9086456298828125,10.224296569824219,2.426666259765625,3699.9918212890625,6144,189,5450,61,0,49066.974548339844,22218.73583984375,1143.385986328125,17012056064,4030738432,7010050048,0
200,1742840466191,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,7.658935546875,2.2783126831054688,2.2380142211914063,1.0015411376953125,100,1.0812301635742188,67.9977798461914,1.0349502563476563,5.551475524902344,1.4148635864257813,1.80718994140625,2.73382568359375,3700.15087890625,6144,189,5443,61,0,49070.905334472656,22220.28399658203,1143.3892211914063,17012056064,4030738432,7021260800,0
200,1742840466391,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,6.862129211425781,1.7201461791992188,4.600090026855469,2.3615570068359375,36.984840393066406,0.2718963623046875,87.86432647705078,12.40496826171875,6.928657531738281,0,1.4336318969726563,1.2737808227539063,3700.3145751953125,6144,189,5500,61,0,49074.70373535156,22221.678649902344,1143.39208984375,17012056064,4030738432,7030595584,0
200,1742840466592,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,4.463386535644531,51.16751480102539,3.56317138671875,2.0303268432617188,28.62317657470703,4.0676422119140625,0.8801956176757813,100,4.640388488769531,5.297737121582031,3.8533401489257813,4.021995544433594,3700.486328125,6144,189,5457,61,0,49078.820251464844,22223.4111328125,1143.3990478515625,17012056064,4030738432,7055196160,0
200,1742840466792,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,5.712272644042969,5.174278259277344,5.485725402832031,2.3890914916992188,56.27933120727539,0.83746337890625,37.00909423828125,38.72025680541992,5.283943176269531,15.437232971191406,4.473045349121094,5.837623596191406,3700.7120361328125,6144,189,5498,60,0,49082.763671875,22224.93621826172,1143.4085693359375,17012056064,4030738432,7055306752,0
200,1742840466993,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.993133544921875,2.4077072143554688,2.3629379272460938,1.3326873779296875,71.65087127685547,0.6347122192382813,3.5877304077148438,0.5936737060546875,0.3782806396484375,99.89320373535156,1.3909759521484375,1.7389907836914063,3700.8716430664063,6144,189,5484,60,0,49086.74658203125,22226.542846679688,1143.412353515625,17012056064,4030738432,7078322176,0
200,1742840467194,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2.963775634765625,2.4771270751953125,1.316314697265625,1.142059326171875,7.37481689453125,34.21941375732422,3.1362533569335938,0.5204391479492188,0.5855941772460938,100,4.2036285400390625,1.7366790771484375,3701.025634765625,6144,189,5450,60,0,49090.49841308594,22227.909118652344,1143.4159545898438,17012056064,4030738432,7080173568,0
199,1742840467394,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2.6648101806640625,1.8488616943359375,2.4037322998046875,0.6487274169921875,70.26913452148438,0.22118377685546875,2.247894287109375,0.242584228515625,0.15303802490234375,100,1.7488937377929688,1.3177490234375,3701.1764526367188,6144,189,5449,60,0,49094.41259765625,22229.445373535156,1143.4197387695313,17012056064,4030738432,7081631744,0
156,1742840467594,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,13.182037353515625,2.0733261108398438,2.7146224975585938,2.452606201171875,41.1732177734375,0.8842697143554688,3.3187408447265625,2.6856918334960938,10.164031982421875,13.351516723632813,2.2074356079101563,2.2749862670898438,3701.3316040039063,6144,189,5483,60,0,49097.634826660156,22230.275756835938,1143.4288330078125,17012056064,4030738432,7001747456,0
