Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742840812488,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,4.181800842285156,18.253868103027344,2.0383148193359375,0.8187713623046875,6.113365173339844,2.4871139526367188,21.760498046875,7.551849365234375,27.51800537109375,0.82159423828125,1.7125396728515625,2.0092239379882813,3950.6527709960938,6144,189,6492,62,0,54602.42303466797,23817.540100097656,1161.1300048828125,17012056064,4030738432,7048101888,0
199,1742840812489,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,27.005569458007813,19.220809936523438,56.614864349365234,8.044288635253906,49.94907760620117,21.176223754882813,25.509323120117188,2.5485610961914063,15.316421508789063,9.152091979980469,14.441413879394531,5.941009521484375,3950.6891479492188,6144,189,5479,62,0,54603.10412597656,23817.853149414063,1161.1382446289063,17012056064,4030738432,7048314880,0
200,1742840812689,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.5047683715820313,2.1150131225585938,9.778648376464844,0.5427780151367188,92.99616241455078,1.9585494995117188,33.91101837158203,0.9243850708007813,5.783943176269531,0.73809814453125,12.758865356445313,1.6668319702148438,3950.8472900390625,6144,189,5481,62,0,54606.88439941406,23819.251708984375,1161.1443481445313,17012056064,4030738432,7069540352,0
199,1742840812889,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,26.690589904785156,9.137100219726563,1.7099533081054688,1.1804885864257813,71.48872375488281,0.4722137451171875,65.84941101074219,0.26189422607421875,4.320167541503906,1.3387451171875,2.0246429443359375,2.5651702880859375,3951.0068969726563,6144,189,5515,61,0,54610.85626220703,23820.82733154297,1161.1473999023438,17012056064,4030738432,7079436288,0
199,1742840813090,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,100,0.6361923217773438,1.6266555786132813,0.36225128173828125,43.67924499511719,1.5752487182617188,6.963874816894531,0.5419158935546875,3.9024505615234375,0.6771392822265625,2.1337432861328125,2.4032363891601563,3951.1851196289063,6144,189,5536,61,0,54614.63916015625,23822.244750976563,1161.150634765625,17012056064,4030738432,7092154368,0
199,1742840813290,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,35.54139709472656,32.86793518066406,1.2919464111328125,1.242645263671875,22.82964324951172,34.714813232421875,1.585601806640625,48.09706497192383,3.4266891479492188,0.6739883422851563,3.1177597045898438,3.3758392333984375,3951.3505859375,6144,189,5479,61,0,54618.6396484375,23823.861389160156,1161.1567993164063,17012056064,4030738432,7102418944,0
199,1742840813490,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,4.5552978515625,3.2371978759765625,3.1332778930664063,5.046012878417969,11.10443115234375,7.036155700683594,84.15550231933594,2.1853103637695313,38.26640701293945,9.606613159179688,5.6073760986328125,4.006690979003906,3951.5657958984375,6144,189,5547,61,0,54622.54846191406,23825.3349609375,1161.1749267578125,17012056064,4030738432,7111839744,0
200,1742840813690,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.5191268920898438,2.1059417724609375,1.7909393310546875,0.7974929809570313,100,0.5171432495117188,70.26260375976563,0.4808349609375,5.561431884765625,0.499542236328125,2.4291763305664063,1.679718017578125,3951.7312622070313,6144,189,5531,61,0,54626.53466796875,23826.939392089844,1161.1790161132813,17012056064,4030738432,7124774912,0
200,1742840813890,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,4.528343200683594,2.8823013305664063,1.5018310546875,1.1913223266601563,13.139678955078125,87.25637817382813,38.35362243652344,0.11507415771484375,4.0749664306640625,3.098785400390625,5.581138610839844,3.019622802734375,3951.8968505859375,6144,189,5494,61,0,54630.36181640625,23828.377075195313,1161.1928100585938,17012056064,4030738432,7133548544,0
199,1742840814091,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.2186660766601563,8.9373779296875,2.3235321044921875,0.451904296875,68.47183227539063,31.985801696777344,68.87895965576172,0.5550155639648438,5.0366973876953125,0.40423583984375,6.539398193359375,1.8092041015625,3952.0812377929688,6144,189,5509,61,0,54634.378662109375,23829.974731445313,1161.2044677734375,17012056064,4030738432,7139360768,0
199,1742840814292,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.0518569946289063,26.333602905273438,2.6726913452148438,0.586944580078125,75.10987091064453,4.51556396484375,33.90172576904297,1.3582000732421875,2.6928253173828125,2.2136764526367188,5.7481689453125,1.4017105102539063,3952.2290649414063,6144,189,5549,61,0,54638.14178466797,23831.366638183594,1161.2100830078125,17012056064,4030738432,7138365440,0
