Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742840986436,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,14.603042602539063,24.829437255859375,3.7295989990234375,9.867942810058594,8.523590087890625,0.5227508544921875,9.631752014160156,0.62982177734375,19.472808837890625,1.5912094116210938,3.80511474609375,4.179557800292969,4075.1195068359375,6144,189,6530,62,0,57343.745178222656,24603.226501464844,1169.79345703125,17012056064,4030738432,7068131328,0
199,1742840986437,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,23.56566619873047,19.322128295898438,13.707695007324219,2.19451904296875,55.43376159667969,13.448219299316406,28.424293518066406,1.8118362426757813,12.019378662109375,4.0779876708984375,38.88016891479492,14.727745056152344,4075.1555786132813,6144,189,5564,62,0,57344.41326904297,24603.507873535156,1169.79345703125,17012056064,4030738432,7068323840,0
200,1742840986637,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,6.206329345703125,9.973052978515625,3.8610916137695313,1.7899932861328125,85.48634338378906,1.74444580078125,43.447349548339844,0.33039093017578125,15.537689208984375,0.7108688354492188,13.392868041992188,2.0212631225585938,4075.3370971679688,6144,189,5612,62,0,57348.256591796875,24604.98162841797,1169.805419921875,17012056064,4030738432,7090225152,0
200,1742840986838,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,5.860176086425781,2.501434326171875,6.884246826171875,1.8171768188476563,99.867919921875,0.673492431640625,68.9911880493164,1.1366119384765625,6.83953857421875,1.8686599731445313,7.133949279785156,4.321159362792969,4075.5104370117188,6144,189,5598,61,0,57352.297302246094,24606.63604736328,1169.8114013671875,17012056064,4030738432,7097602048,0
200,1742840987038,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2.9543228149414063,1.984344482421875,1.9916229248046875,0.382781982421875,55.357601165771484,47.30628967285156,7.191291809082031,0.29058074951171875,2.44915771484375,2.9467391967773438,1.7511062622070313,35.66388702392578,4075.6920776367188,6144,189,5628,61,0,57356.081787109375,24608.018005371094,1169.81689453125,17012056064,4030738432,7119802368,0
199,1742840987239,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.4641876220703125,1.9706802368164063,2.0567703247070313,0.2800445556640625,100,4.001068115234375,8.443008422851563,0.32334136962890625,3.2608108520507813,0.5263214111328125,1.4651870727539063,63.4047966003418,4075.8611450195313,6144,189,5628,61,0,57360.08801269531,24609.608154296875,1169.8224487304688,17012056064,4030738432,7127425024,0
200,1742840987439,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,34.99749755859375,1.8121185302734375,1.6589584350585938,0.48900604248046875,100,1.4671096801757813,8.502326965332031,1.2063827514648438,3.7164382934570313,1.2324295043945313,2.1568832397460938,2.5209884643554688,4076.0595092773438,6144,189,5550,61,0,57363.83166503906,24610.96453857422,1169.8267822265625,17012056064,4030738432,7135309824,0
200,1742840987639,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,67.09461975097656,2.7139358520507813,1.5721893310546875,0.6007766723632813,100,0.1697845458984375,9.116081237792969,0.6631698608398438,5.122535705566406,0.2828216552734375,5.1668243408203125,1.4870681762695313,4076.2340087890625,6144,189,5539,61,0,57367.876403808594,24612.604248046875,1169.8514404296875,17012056064,4030738432,7148318720,0
199,1742840987840,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,4.2719879150390625,2.5091323852539063,5.7186431884765625,1.3792724609375,99.80233001708984,0.4071044921875,35.64281463623047,1.48577880859375,7.6097869873046875,1.492706298828125,3.7757568359375,3.0241470336914063,4076.4168090820313,6144,189,5569,61,0,57371.697509765625,24614.02325439453,1169.8572998046875,17012056064,4030738432,7146991616,0
200,1742840988040,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,6.93896484375,1.47833251953125,1.6851806640625,0,71.0777816772461,28.632713317871094,68.80484008789063,0,5.321723937988281,0.2151641845703125,3.6101531982421875,1.1632461547851563,4076.5923461914063,6144,189,5568,61,0,57375.6337890625,24615.567321777344,1169.8613891601563,17012056064,4030738432,7161028608,0
