Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742840206262,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.6320037841796875,17.976425170898438,2.2842330932617188,1.0285720825195313,16.6580810546875,2.1939773559570313,5.203460693359375,1.4097137451171875,2.7186737060546875,16.828636169433594,25.80866241455078,1.6269607543945313,3512.525390625,6144,189,6402,61,0,44965.41192626953,21047.98162841797,1130.3117065429688,17012056064,4030738432,7103717376,0
199,1742840206262,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,27.57042694091797,29.091262817382813,56.634033203125,15.288398742675781,67.4134521484375,12.373214721679688,45.928741455078125,45.80931091308594,60.37523651123047,10.854728698730469,51.95679473876953,19.26611328125,3512.5606689453125,6144,189,5480,61,0,44965.88439941406,21048.226501464844,1130.3278198242188,17012056064,4030738432,7104729088,0
200,1742840206462,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,8.757667541503906,4.9042510986328125,6.469245910644531,2.5769424438476563,59.58729553222656,12.557365417480469,11.006561279296875,3.6851959228515625,37.434391021728516,10.500534057617188,24.31163787841797,15.3040771484375,3512.7283325195313,6144,189,5519,61,0,44969.821533203125,21049.778747558594,1130.3316650390625,17012056064,4030738432,7123087360,0
200,1742840206663,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,15.805633544921875,2.4781951904296875,2.9367294311523438,1.2407150268554688,56.50678634643555,15.127609252929688,87.99738311767578,2.432647705078125,4.357025146484375,1.2992324829101563,3.9404983520507813,2.8900833129882813,3512.8916015625,6144,189,5519,61,0,44973.83447265625,21051.38897705078,1130.3443603515625,17012056064,4030738432,7131496448,0
200,1742840206863,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,34.88737487792969,1.783294677734375,1.591522216796875,1.0627288818359375,7.071495056152344,1.5741195678710938,100,2.5564651489257813,4.0955810546875,1.1075515747070313,3.908599853515625,1.6443252563476563,3513.0504150390625,6144,189,5531,61,0,44977.57196044922,21052.750549316406,1130.3479614257813,17012056064,4030738432,7146250240,0
200,1742840207064,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,3.4558486938476563,2.0242843627929688,1.7277755737304688,0.5487747192382813,33.59874725341797,0.347442626953125,100,0.4901580810546875,3.3796768188476563,0.3715362548828125,40.89933395385742,2.4100799560546875,3513.2054443359375,6144,189,5531,61,0,44981.550720214844,21054.357971191406,1130.3521728515625,17012056064,4030738432,7167000576,0
200,1742840207264,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,5.693672180175781,4.1512908935546875,2.3324356079101563,0.8554153442382813,38.02030944824219,0.8547210693359375,100,0.5738525390625,4.486297607421875,0.4712677001953125,2.9487533569335938,2.9805374145507813,3513.4246826171875,6144,189,5432,60,0,44985.36798095703,21055.742736816406,1130.3662109375,17012056064,4030738432,7178153984,0
200,1742840207465,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,6.726936340332031,2.4438629150390625,4.667449951171875,2.9528350830078125,71.63785552978516,1.8688430786132813,25.790542602539063,74.70420837402344,6.903160095214844,1.2519302368164063,6.4328460693359375,5.913948059082031,3513.5970458984375,6144,189,5432,60,0,44989.533142089844,21057.513244628906,1130.382568359375,17012056064,4030738432,7202258944,0
199,1742840207665,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,35.79540252685547,1.6422653198242188,2.1050186157226563,1.5664215087890625,43.16885757446289,40.39435958862305,5.988075256347656,20.489166259765625,3.5297393798828125,1.2730941772460938,4.9260406494140625,1.5832290649414063,3513.7522583007813,6144,189,5440,60,0,44993.355529785156,21058.94415283203,1130.3877563476563,17012056064,4030738432,7205728256,0
200,1742840207865,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,67.04878234863281,1.4282302856445313,2.9631576538085938,0.8327865600585938,0.4677581787109375,100,5.162200927734375,0.32379913330078125,4.9664459228515625,0.518402099609375,7.347877502441406,2.719757080078125,3513.908447265625,6144,189,5458,60,0,44997.33044433594,21060.538635253906,1130.3912963867188,17012056064,4030738432,7190007808,0
144,1742840208066,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,2601,13.430389404296875,2.3204193115234375,2.5053482055664063,0.7928085327148438,28.616661071777344,13.46923828125,38.91960525512695,0.5806427001953125,14.654861450195313,1.2078628540039063,3.6922149658203125,2.456573486328125,3514.0635375976563,6144,189,5544,60,0,45000.78973388672,21061.622009277344,1130.3952026367188,17012056064,4030738432,7105667072,0
