Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740268764057,23098.571365356445,4650,0,1.225,23316.807571411133,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,34.41822052001953,17.07648468017578,19.974319458007813,4.323066711425781,86.56133270263672,6.9461669921875,99.94105529785156,13.804969787597656,17.14490509033203,6.540916442871094,34.543479919433594,4.5441131591796875,34239672320,2147483648,15656988672,0
191,1740268764066,23098.615951538086,4650,0,1.21875,23317.495407104492,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.028587341308594,1.9208984375,0.473602294921875,0,35.49371337890625,9.842910766601563,100,0.8902130126953125,0,0,0.6791000366210938,0.9785079956054688,34239672320,2147483648,15656681472,0
200,1740268764258,21903.61686706543,4650,0,1.21875,23326.700408935547,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,11.142196655273438,1.8676071166992188,1.480804443359375,0.36914825439453125,32.226593017578125,1.7044830322265625,66.22352600097656,3.5154342651367188,2.51055908203125,0.3755340576171875,0.57293701171875,0.8473587036132813,34239672320,2147483648,15654871040,0
199,1740268764458,21904.19888305664,4650,0,1.225,23336.2433013916,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.766807556152344,3.9118499755859375,2.0339279174804688,0.328826904296875,98.26084899902344,0.30687713623046875,11.558181762695313,4.468017578125,1.4916534423828125,0.701934814453125,1.5611419677734375,2.3709030151367188,34239672320,2147483648,15672897536,0
199,1740268764658,21904.57012939453,4650,0,1.19375,23345.299362182617,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.2085418701171875,0.7491226196289063,1.36279296875,0.08329010009765625,99.99679565429688,0.047760009765625,4.25360107421875,1.861236572265625,0.053375244140625,0.09105682373046875,0.1226348876953125,0.3367767333984375,34239672320,2147483648,15674564608,0
199,1740268764858,21905.8914642334,3720.0000000000005,0,1.20625,23354.99252319336,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.916259765625,2.7353439331054688,1.414031982421875,0.15810394287109375,37.98989486694336,3.6182861328125,60.8421516418457,4.052101135253906,1.2577285766601563,0.5578384399414063,15.899559020996094,0.8393020629882813,34239672320,2147483648,15635767296,0
199,1740268765058,21907.087020874023,3720.0000000000005,0,1.21875,23364.897186279297,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.090301513671875,4.1452178955078125,1.80352783203125,0.857086181640625,43.58900451660156,6.947792053222656,40.468257904052734,18.88457489013672,0.9583587646484375,1.763336181640625,11.971786499023438,1.5901641845703125,34239672320,2147483648,15679770624,0
200,1740268765258,21907.610275268555,3720.0000000000005,0,1.20625,23374.601043701172,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,19.32274627685547,4.428688049316406,3.3231353759765625,2.6490631103515625,81.14373779296875,3.3733978271484375,8.270423889160156,5.704376220703125,0.581573486328125,1.0238265991210938,1.2032852172851563,1.5461578369140625,34239672320,2147483648,15653728256,0
199,1740268765459,21908.068572998047,4650,0,1.20625,23383.897567749023,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.8505706787109375,2.8658370971679688,1.7317428588867188,0.4757080078125,92.41429901123047,8.188209533691406,4.315269470214844,6.5116424560546875,0.5851669311523438,0.6056671142578125,1.5226058959960938,1.1461257934570313,34239672320,2147483648,15675027456,0
200,1740268765659,7161.215347290039,4650,0,1.21875,23394.30043029785,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,19.495826721191406,7.051719665527344,1.55401611328125,0.49813079833984375,51.04988098144531,24.474708557128906,37.48695373535156,18.761154174804688,10.216049194335938,2.4698410034179688,6.5535888671875,1.2161026000976563,34239672320,2147483648,15673892864,0
