Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740149589628,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,7.766090393066406,9.817039489746094,20.7921142578125,10.167205810546875,79.82191467285156,4.7784576416015625,22.302818298339844,7.888648986816406,33.136573791503906,7.796104431152344,54.37514877319336,1.9709091186523438,24108.761108398438,27633.167053222656,124479.72052001953,6612.482727050781,17012051968,15032385536,7818616832,0
199,1740149589629,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,16.1357421875,0.29254913330078125,24.613182067871094,3.5994415283203125,89.57222747802734,0,43.29952621459961,0,75.70103454589844,7.192390441894531,15.1822509765625,4.089195251464844,24108.769165039063,27633.279296875,124479.77099609375,6612.482727050781,17012051968,15032385536,7818842112,0
200,1740149589829,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,12.104072570800781,1.797607421875,17.9443359375,9.405769348144531,15.6104736328125,8.443206787109375,10.315818786621094,8.167579650878906,5.9870758056640625,50.42082214355469,25.727020263671875,4.2891387939453125,24108.994873046875,27637.141235351563,124481.21496582031,6612.5067138671875,17012051968,15032385536,7845289984,0
200,1740149590029,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,6.049018859863281,0.32801055908203125,17.69921112060547,4.5353546142578125,8.977806091308594,4.555290222167969,7.390632629394531,2.3696136474609375,5.103668212890625,16.819976806640625,11.664535522460938,5.711662292480469,24109.20086669922,27640.33984375,124482.03826904297,6612.5164794921875,17012051968,15032385536,7845355520,0
200,1740149590229,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,20.78943634033203,6.655311584472656,21.15472412109375,10.187980651855469,20.326324462890625,11.74945068359375,20.65399169921875,9.137123107910156,11.652168273925781,26.686386108398438,18.096847534179688,5.912261962890625,24109.450073242188,27644.185913085938,124483.45037841797,6612.544494628906,17012051968,15032385536,7844503552,0
200,1740149590430,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,9.414321899414063,0.6270217895507813,7.670494079589844,6.294166564941406,16.703216552734375,3.3066940307617188,9.199630737304688,2.1266937255859375,2.710357666015625,19.70093536376953,10.361732482910156,6.6676025390625,24109.684448242188,27647.577697753906,124484.40295410156,6612.587829589844,17012051968,15032385536,7855624192,0
199,1740149590631,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,26.06139373779297,7.3768463134765625,29.15642547607422,13.045295715332031,16.171295166015625,8.531631469726563,12.4591064453125,9.392684936523438,25.725242614746094,32.27647399902344,28.271194458007813,6.763374328613281,24109.917724609375,27651.40283203125,124485.84063720703,6612.587829589844,17012051968,15032385536,7858921472,0
200,1740149590831,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,54.514530181884766,11.738731384277344,36.981689453125,21.831817626953125,38.561767578125,20.995941162109375,23.926620483398438,14.712844848632813,28.33214569091797,22.17931365966797,36.903175354003906,21.582504272460938,24110.264709472656,27656.3388671875,124488.12841796875,6612.7677001953125,17012051968,15032385536,7876308992,0
199,1740149591031,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,14.686859130859375,6.298774719238281,11.423500061035156,7.5501251220703125,16.5419921875,5.125274658203125,12.798553466796875,4.819671630859375,5.3395538330078125,17.80107879638672,7.51116943359375,6.975624084472656,24110.52764892578,27659.80548095703,124489.06060791016,6612.8900146484375,17012051968,15032385536,7878574080,0
200,1740149591231,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,14.815933227539063,4.0382537841796875,10.958358764648438,9.596237182617188,15.924728393554688,4.1971588134765625,15.072334289550781,5.025749206542969,9.969612121582031,13.126953125,8.3656005859375,7.065399169921875,24110.79315185547,27663.201538085938,124489.93359375,6613.013732910156,17012051968,15032385536,7877246976,0
199,1740149591432,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,15.416435241699219,4.23321533203125,14.04290771484375,8.902931213378906,19.17938995361328,6.706657409667969,24.067398071289063,2.9225540161132813,10.864395141601563,13.659019470214844,11.554679870605469,5.947845458984375,24111.063415527344,27666.71746826172,124490.93426513672,6613.119384765625,17012051968,15032385536,7879196672,0
200,1740149591632,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,34.35615539550781,21.097450256347656,42.59917449951172,27.866836547851563,34.36408233642578,30.632858276367188,35.63561248779297,20.09166717529297,19.29688262939453,87.6201171875,27.461746215820313,27.597511291503906,24111.429931640625,27671.786254882813,124493.4419555664,6613.208557128906,17012051968,15032385536,7902130176,0
200,1740149591832,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,8.391250610351563,0.7265472412109375,15.466972351074219,5.387367248535156,23.65582275390625,5.260917663574219,11.101783752441406,0.7628021240234375,7.684791564941406,23.70379638671875,24.783424377441406,1.4368972778320313,24111.66094970703,27675.3720703125,124494.59631347656,6613.242004394531,17012051968,15032385536,7904325632,0
200,1740149592033,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,7.003349304199219,2.9535369873046875,6.657890319824219,5.620796203613281,18.48468017578125,1.9209976196289063,6.7073822021484375,0.6988143920898438,1.8085708618164063,20.44428253173828,4.426536560058594,3.2763748168945313,24111.880798339844,27678.462951660156,124495.25219726563,6613.2969970703125,17012051968,15032385536,7904575488,0
200,1740149592233,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,12.988960266113281,2.9436111450195313,28.381820678710938,8.4268798828125,15.042007446289063,6.012351989746094,9.110542297363281,3.3280410766601563,11.890625,39.84946060180664,13.8372802734375,9.459915161132813,24112.11492919922,27682.152709960938,124496.52136230469,6613.3236083984375,17012051968,15032385536,7905325056,0
200,1740149592433,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,6.159706115722656,3.3805389404296875,12.605644226074219,4.454780578613281,6.313179016113281,4.540473937988281,6.2625274658203125,6.783058166503906,5.157447814941406,37.94426345825195,5.860313415527344,1.9486083984375,24112.34735107422,27685.460388183594,124497.40795898438,6613.341796875,17012051968,15032385536,7901179904,0
200,1740149592634,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,4.318778991699219,3.9903640747070313,11.770050048828125,5.129142761230469,7.770172119140625,3.7611618041992188,5.80712890625,4.5710906982421875,5.8246917724609375,47.438148498535156,3.2438278198242188,2.7592315673828125,24112.556091308594,27688.630004882813,124498.20098876953,6613.346496582031,17012051968,15032385536,7915552768,0
199,1740149592835,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,14.680709838867188,0,3.5943222045898438,1.2921676635742188,11.34478759765625,1.3937606811523438,1.8552093505859375,10.388442993164063,1.625244140625,20.538551330566406,17.79615020751953,3.1296844482421875,24112.769897460938,27691.906005859375,124499.06713867188,6613.3665771484375,17012051968,15032385536,7926710272,0
200,1740149593035,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,1.3210678100585938,0.25238800048828125,0.5864334106445313,1.06573486328125,3.5530242919921875,0.45287322998046875,0.7205429077148438,0.24399566650390625,0.8092498779296875,0.3038787841796875,0.7920684814453125,0.24294281005859375,24112.89666748047,27694.319213867188,124499.17761230469,6613.3665771484375,17012051968,15032385536,7926153216,0
200,1740149593235,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,3.595001220703125,0.5278472900390625,2.6575775146484375,6.42218017578125,4.654083251953125,0.9189376831054688,1.69158935546875,0.62896728515625,1.1456069946289063,8.987556457519531,1.04766845703125,1.7212448120117188,24113.04217529297,27696.958129882813,124499.48156738281,6613.3798828125,17012051968,15032385536,7925936128,0
199,1740149593436,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,5.506805419921875,2.0429534912109375,4.634819030761719,5.4839019775390625,7.550689697265625,3.3565597534179688,3.6554946899414063,2.430389404296875,2.7991714477539063,25.633872985839844,4.737373352050781,3.592987060546875,24113.20233154297,27699.833374023438,124499.98132324219,6613.396240234375,17012051968,15032385536,7925993472,0
200,1740149593636,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,5.707710266113281,5.006072998046875,4.78302001953125,5.659141540527344,9.389442443847656,3.3334732055664063,5.3526153564453125,3.0143814086914063,0.8384628295898438,13.115676879882813,3.84197998046875,3.1065521240234375,24113.383728027344,27702.74481201172,124500.53607177734,6613.4267578125,17012051968,15032385536,7903678464,0
200,1740149593836,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,5.352836608886719,2.0171127319335938,6.474952697753906,8.041007995605469,13.183151245117188,4.394569396972656,5.746238708496094,1.3878173828125,1.6100616455078125,10.670478820800781,3.9620285034179688,1.058441162109375,24113.586486816406,27705.709594726563,124501.08959960938,6613.462097167969,17012051968,15032385536,7903723520,0
200,1740149594037,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,4.7961273193359375,0,1.7411880493164063,8.163528442382813,9.377647399902344,0.80596923828125,15.812515258789063,0.300537109375,0.5350418090820313,11.462196350097656,2.6899337768554688,0.24707794189453125,24113.78985595703,27708.68798828125,124501.64990234375,6613.5025634765625,17012051968,15032385536,7902253056,0
200,1740149594237,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,7.6060028076171875,7.169975280761719,8.133827209472656,4.600593566894531,15.662261962890625,2.3369064331054688,6.7622833251953125,1.289031982421875,4.9416351318359375,2.3780059814453125,7.397254943847656,2.148406982421875,24113.986938476563,27711.639099121094,124502.21862792969,6613.527160644531,17012051968,15032385536,7900012544,0
