Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740333457660,46795.00929260254,4650,0,1.21875,2301.196044921875,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,87.1434097290039,0.082855224609375,24.364669799804688,2.9298782348632813,22.181907653808594,42.96958541870117,100,1.6999282836914063,7.7796630859375,31.250091552734375,51.48779296875,1.7127838134765625,34239672320,2147483648,7515602944,0
200,1740333457660,46795.01762390137,3720.0000000000005,0,1.21875,2301.3058013916016,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,0,0,0,0,8.141921997070313,0,99.044189453125,0,0,0,76.42996215820313,0,34239672320,2147483648,7515627520,0
199,1740333457861,46432.01754760742,4650,0,1.21875,2311.0023040771484,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,19.941162109375,8.753662109375,1.1935653686523438,1.9571456909179688,6.3842010498046875,59.86003112792969,21.880691528320313,14.146354675292969,1.3868408203125,3.561553955078125,4.894073486328125,5.403831481933594,34239672320,2147483648,7505354752,0
200,1740333458061,46432.781646728516,4650,0,1.2125,2321.6290283203125,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,28.80609893798828,10.833358764648438,1.1502838134765625,4.440216064453125,13.939949035644531,64.15373992919922,18.303924560546875,24.397796630859375,5.001548767089844,5.884422302246094,5.267097473144531,14.300926208496094,34239672320,2147483648,7519379456,0
200,1740333458261,46798.023986816406,4650,0,1.2,2331.189422607422,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,14.695693969726563,8.141502380371094,2.8059921264648438,2.921539306640625,15.928665161132813,33.44132995605469,8.553337097167969,18.257980346679688,3.5602340698242188,3.5879364013671875,4.668815612792969,18.210556030273438,34239672320,2147483648,7541727232,0
200,1740333458461,46798.42207336426,4650,0,1.2,2339.0631408691406,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.358207702636719,2.62725830078125,0.6834564208984375,1.6705703735351563,4.8246917724609375,16.849197387695313,5.823234558105469,4.4284820556640625,0.5247116088867188,0.91473388671875,1.0867919921875,1.5650634765625,34239672320,2147483648,7539396608,0
200,1740333458662,46798.76466369629,4650,0,1.1875,2346.654739379883,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.0176544189453125,1.10919189453125,0.3674163818359375,1.7292251586914063,3.3275222778320313,14.570663452148438,2.7532424926757813,2.3874740600585938,0.61309814453125,0.39521026611328125,1.1181259155273438,0.9312667846679688,34239672320,2147483648,7537950720,0
200,1740333458862,30028.45835876465,4650,0,1.2,2353.610397338867,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.0225830078125,0.590606689453125,0.12007904052734375,1.321441650390625,0.877777099609375,3.4565505981445313,1.626373291015625,1.3350448608398438,0,0.23496246337890625,2.2629852294921875,0.33693695068359375,34239672320,2147483648,7537344512,0
200,1740333459063,25525.208450317383,4650,0,1.20625,2360.6871032714844,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.788352966308594,0.25211334228515625,0.20308685302734375,1.4936599731445313,0.7694168090820313,4.0123443603515625,2.1419143676757813,1.3726959228515625,1.4388961791992188,0.15821075439453125,0.46118927001953125,0.4573974609375,34239672320,2147483648,7541592064,0
199,1740333459263,39115.10691833496,4650,0,1.2,2367.6610412597656,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,5.319915771484375,0.724761962890625,0.39825439453125,1.7361984252929688,1.1480941772460938,3.0592803955078125,1.9568099975585938,3.0089797973632813,0.30945587158203125,0.24639129638671875,1.1964492797851563,0.6358642578125,34239672320,2147483648,7540916224,0
200,1740333459463,46434.702377319336,3720.0000000000005,0,1.19375,2374.9188537597656,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.8044204711914063,1.8311233520507813,0.44239044189453125,2.1312789916992188,5.0189208984375,7.244224548339844,2.7522430419921875,9.685333251953125,0.855712890625,0.8845748901367188,1.3444137573242188,0.7571029663085938,34239672320,2147483648,7539490816,0
200,1740333459664,46434.88276672363,4650,0,1.2,2381.9182891845703,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.7041015625,0.525848388671875,0.2135772705078125,1.5734329223632813,4.96453857421875,3.421722412109375,3.4097137451171875,1.3866653442382813,0.10723876953125,0.1973724365234375,0.22753143310546875,0.34732818603515625,34239672320,2147483648,7538651136,0
199,1740333459864,25672.635314941406,4650,0,1.21875,2388.7513885498047,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.7485427856445313,0.31453704833984375,1.5390777587890625,1.3664016723632813,0.7423171997070313,2.847137451171875,1.5763397216796875,1.7350845336914063,0.27802276611328125,0.130218505859375,0.25934600830078125,0.467437744140625,34239672320,2147483648,7538102272,0
200,1740333460064,46800.1259765625,4650,0,1.20625,2395.4974060058594,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.6743621826171875,0.05617523193359375,0.1751861572265625,1.4646759033203125,1.5584030151367188,2.8289718627929688,1.4666824340820313,1.2532424926757813,0,0,0.11385345458984375,0.0264892578125,34239672320,2147483648,7537598464,0
199,1740333460264,46435.40802001953,4650,0,1.2,2402.558059692383,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.7639083862304688,0.21057891845703125,0.2299652099609375,1.3075408935546875,0.8021469116210938,4.567291259765625,4.161369323730469,2.71429443359375,0.019287109375,0.13674163818359375,0.13893890380859375,0.123748779296875,34239672320,2147483648,7541370880,0
200,1740333460464,46800.52932739258,3720.0000000000005,0,1.20625,2409.8646392822266,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.4060211181640625,0.6161346435546875,0.6965103149414063,1.2891006469726563,2.4075927734375,3.5781784057617188,3.942474365234375,15.791046142578125,0.490966796875,0.102020263671875,0.2465362548828125,0.18470001220703125,34239672320,2147483648,7538159616,0
200,1740333460665,46800.890563964844,4650,0,0.96875,2417.634246826172,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.0868911743164063,0.6326065063476563,0.36525726318359375,1.2304153442382813,13.215118408203125,5.147270202636719,1.216766357421875,29.977439880371094,0.27740478515625,0.0939483642578125,0.1596527099609375,0.3726043701171875,34239672320,2147483648,7537676288,0
200,1740333460865,46801.06904602051,4650,0,1.2,2424.7218475341797,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.4565353393554688,0.8455963134765625,1.0041427612304688,1.063629150390625,2.3021087646484375,2.6807785034179688,2.5212326049804688,1.361053466796875,0.17925262451171875,0,0.381622314453125,0.19391632080078125,34239672320,2147483648,7537106944,0
