Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740334258267,47934.60433959961,4650,0,1.2125,30213.3683013916,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,67.69505310058594,0.8473587036132813,9.948089599609375,8.757789611816406,55.046104431152344,18.712554931640625,66.98114013671875,12.259307861328125,19.461158752441406,2.822296142578125,32.73329162597656,1.84283447265625,34239672320,2147483648,7516475392,0
199,1740334258268,47934.62031555176,4650,0,1.21875,30213.51889038086,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,17.15447998046875,13.254219055175781,10.267349243164063,9.843986511230469,99.54330444335938,9.563972473144531,12.090805053710938,9.760650634765625,31.525436401367188,10.21734619140625,10.264015197753906,9.840652465820313,34239672320,2147483648,7516372992,0
199,1740334258468,47540.19372558594,4650,0,1.20625,30223.102142333984,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,16.51598358154297,20.481201171875,1.6570816040039063,1.6592025756835938,13.156959533691406,44.4463996887207,13.124809265136719,9.809715270996094,2.9362258911132813,2.869720458984375,9.492225646972656,5.155128479003906,34239672320,2147483648,7502749696,0
200,1740334258668,47936.68395996094,4650,0,1.20625,30234.10466003418,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,34.70557403564453,11.387969970703125,1.672027587890625,2.2086257934570313,11.705482482910156,61.298797607421875,13.48919677734375,25.086875915527344,6.509346008300781,11.075462341308594,14.909004211425781,9.7630615234375,34239672320,2147483648,7530803200,0
200,1740334258868,47541.3409576416,4650,0,1.20625,30242.640869140625,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,14.589736938476563,4.8753814697265625,1.4728164672851563,3.117034912109375,4.3101043701171875,19.80347442626953,6.305595397949219,11.078468322753906,2.0498733520507813,2.7090835571289063,2.8266067504882813,3.08331298828125,34239672320,2147483648,7558123520,0
200,1740334259068,30385.257553100586,4650,0,1.2125,30250.970779418945,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.810028076171875,15.828697204589844,0.23754119873046875,1.442230224609375,12.42303466796875,13.817298889160156,3.7374954223632813,5.714851379394531,0.6886444091796875,0.47814178466796875,2.2809906005859375,0.9985885620117188,34239672320,2147483648,7561228288,0
200,1740334259269,47938.07402038574,4650,0,1.1875,30259.331298828125,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,7.5623779296875,3.17291259765625,0.6504745483398438,1.5569229125976563,22.056808471679688,10.249916076660156,10.0367431640625,7.816856384277344,1.0625,0.34295654296875,1.60504150390625,1.0251235961914063,34239672320,2147483648,7561318400,0
200,1740334259469,47938.26513671875,4650,0,1.20625,30266.28842163086,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.712860107421875,1.772979736328125,0.09174346923828125,1.3540573120117188,2.17034912109375,3.84283447265625,2.601318359375,1.89862060546875,0.27033233642578125,0.0204010009765625,0.1292877197265625,0.41927337646484375,34239672320,2147483648,7560302592,0
200,1740334259670,47938.53201293945,4650,0,1.19375,30273.53010559082,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3.7347412109375,1.4079132080078125,0.09795379638671875,1.7162322998046875,8.809867858886719,4.2297821044921875,2.7993698120117188,2.9964218139648438,0.1643829345703125,0.05585479736328125,0.5486526489257813,0.3991851806640625,34239672320,2147483648,7565008896,0
200,1740334259870,47938.71342468262,4650,0,1.2,30280.518096923828,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.578216552734375,1.671783447265625,0,1.3003158569335938,2.1728744506835938,2.7805633544921875,2.5979385375976563,1.7924957275390625,0,0.01065826416015625,0.25714874267578125,0.08533477783203125,34239672320,2147483648,7565246464,0
