Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740268703674,22864.64549255371,4650,0,1.21875,20511.98797607422,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,19.405654907226563,42.29520034790039,11.22991943359375,5.593727111816406,41.00981903076172,17.503189086914063,79.37142181396484,6.496864318847656,31.613662719726563,0,76.47962951660156,0,34239672320,2147483648,15163092992,0
190,1740268703684,22864.684631347656,4650,0,1.225,20512.66096496582,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,2.9484176635742188,100,6.9833831787109375,0.23831939697265625,30.857635498046875,0.2626190185546875,3.4626846313476563,2.3910293579101563,9.478675842285156,0,0.40765380859375,0,34239672320,2147483648,15170265088,0
199,1740268703874,22866.095489501953,4650,0,1.25,20521.945251464844,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.7913970947265625,4.609352111816406,0.4366607666015625,1.430572509765625,71.98965454101563,6.5150146484375,33.39752960205078,1.8067245483398438,1.7407379150390625,0.278472900390625,1.9948272705078125,1.0935287475585938,34239672320,2147483648,15177687040,0
199,1740268704074,21664.608123779297,3720.0000000000005,0,1.2125,20531.65786743164,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,8.162979125976563,1.6336441040039063,0.5313873291015625,1.4696807861328125,22.079872131347656,58.2331428527832,26.171035766601563,6.891609191894531,0.5559768676757813,0.50299072265625,1.4396896362304688,0.9787368774414063,34239672320,2147483648,15176593408,0
199,1740268704274,6982.990280151367,4650,0,1.2125,20541.347869873047,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,6.6846923828125,3.783294677734375,0.5898971557617188,1.9818038940429688,32.79578399658203,37.83485794067383,56.65744400024414,5.9747314453125,1.0409164428710938,1.1142654418945313,1.8581924438476563,1.5723648071289063,34239672320,2147483648,15190958080,0
199,1740268704474,22869.783081054688,4650,0,1.23125,20550.68034362793,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,5.808174133300781,2.5958251953125,1.4061431884765625,1.8603439331054688,51.234378814697266,2.1904144287109375,58.502281188964844,4.091850280761719,0.9435958862304688,0.6288604736328125,2.4545135498046875,1.2203826904296875,34239672320,2147483648,15198560256,0
199,1740268704674,6983.979278564453,3720.0000000000005,0,1.225,20560.194778442383,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,12.97265625,2.9240951538085938,0.02941131591796875,1.6792526245117188,43.88020706176758,4.133613586425781,48.963714599609375,6.3304595947265625,0.25415802001953125,0.877532958984375,2.8702774047851563,1.8388519287109375,34239672320,2147483648,15194587136,0
200,1740268704874,21668.924575805664,3720.0000000000005,0,1.20625,20569.818771362305,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,13.116119384765625,2.3476409912109375,0.28022003173828125,2.8350296020507813,81.16140747070313,3.6127853393554688,16.43097686767578,3.2673721313476563,0.5156326293945313,1.4526214599609375,1.0557403564453125,2.2420654296875,34239672320,2147483648,15180144640,0
200,1740268705075,21669.377716064453,4650,0,1.2125,20579.307022094727,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,4.223258972167969,1.2254714965820313,0.5825424194335938,1.8062591552734375,100,0.46826171875,4.0416412353515625,6.250679016113281,0.4278717041015625,0.8920364379882813,2.7425384521484375,0.6913681030273438,34239672320,2147483648,15201579008,0
200,1740268705275,6985.859756469727,4650,0,1.21875,20590.26983642578,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,30.053688049316406,17.15917205810547,3.4443206787109375,5.438255310058594,62.44116973876953,21.387435913085938,32.980224609375,21.584030151367188,10.380744934082031,3.7873306274414063,15.152854919433594,4.0587310791015625,34239672320,2147483648,15213432832,0
