Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740440412995,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.802696228027344,1.01275634765625,23.219131469726563,1.3282012939453125,85.54704284667969,1.6619949340820313,19.660537719726563,2.0185470581054688,6.4981536865234375,1.5154190063476563,10.582405090332031,1.2750091552734375,7083.4649658203125,4096,241,56,4,84247.09484863281,75568.51599121094,689.392822265625,16976154624,5100273664,7835127808,0
199,1740440412996,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.706825256347656,0.5967864990234375,18.02220916748047,0.9194412231445313,98.70555114746094,0.45664215087890625,40.94115447998047,1.5316238403320313,6.0872344970703125,0.9440765380859375,27.879592895507813,1.4515380859375,7083.4852294921875,4096,241,56,4,84247.4086303711,75568.81671142578,689.3955078125,16976154624,5100273664,7844732928,0
200,1740440413195,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.6590652465820313,0.34899139404296875,12.548713684082031,0.0687408447265625,78.03842163085938,0.4880828857421875,9.842308044433594,0.3774871826171875,19.581398010253906,0.8026580810546875,8.015396118164063,0.48914337158203125,7083.686462402344,4096,241,56,4,84252.00384521484,75573.11596679688,689.4249267578125,16976154624,5100273664,7881428992,0
200,1740440413396,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.237503051757813,0.9938888549804688,29.72962188720703,1.0042266845703125,14.248748779296875,6.784629821777344,7.903495788574219,2.3455963134765625,1.66302490234375,4.631355285644531,10.498992919921875,2.6704864501953125,7083.884704589844,4096,241,56,3,84253.20373535156,75574.04876708984,689.453369140625,16976154624,5100273664,7881936896,0
200,1740440413597,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.122528076171875,1.7168731689453125,32.52881622314453,0.5165557861328125,6.772407531738281,6.7923126220703125,5.875526428222656,1.6808395385742188,0.932708740234375,2.6625518798828125,10.097305297851563,8.16253662109375,7084.082214355469,4096,241,56,3,84253.80358886719,75574.4115600586,689.4754028320313,16976154624,5100273664,7883579392,0
200,1740440413797,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.233184814453125,5.283935546875,13.333961486816406,7.2161407470703125,14.211936950683594,1.7610931396484375,4.248191833496094,1.1606979370117188,1.9225082397460938,0.22969818115234375,4.93560791015625,1.5856399536132813,7084.297058105469,4096,241,56,4,84255.46215820313,75575.80456542969,689.5020751953125,16976154624,5100273664,7874105344,0
200,1740440413998,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.330894470214844,0.6106185913085938,22.932113647460938,0.602264404296875,1.173370361328125,5.292808532714844,4.360877990722656,1.74993896484375,0.938995361328125,3.0100936889648438,8.77752685546875,2.637481689453125,7084.50244140625,4096,241,56,4,84256.3618774414,75576.44580078125,689.5249633789063,16976154624,5100273664,7874105344,0
200,1740440414199,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.802864074707031,0.730712890625,19.492950439453125,0.47162628173828125,4.781585693359375,5.485694885253906,4.869476318359375,5.386604309082031,1.224151611328125,1.3389434814453125,6.7457275390625,3.3948745727539063,7084.709716796875,4096,241,56,3,84257.443359375,75577.27703857422,689.5484008789063,16976154624,5100273664,7874093056,0
200,1740440414399,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.712303161621094,0.5406723022460938,22.28997802734375,0.05279541015625,3.2313690185546875,5.652976989746094,4.9337158203125,1.3180770874023438,0.5947189331054688,2.8838882446289063,9.712295532226563,1.3440704345703125,7084.914001464844,4096,241,56,4,84258.39208984375,75577.97369384766,689.5726928710938,16976154624,5100273664,7874093056,0
200,1740440414600,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.3162994384765625,2.1092910766601563,18.91474151611328,2.3503570556640625,6.086296081542969,6.882598876953125,2.1316070556640625,1.3928298950195313,0.546142578125,3.2428207397460938,10.127220153808594,2.292938232421875,7085.120910644531,4096,241,56,4,84259.29949951172,75578.62780761719,689.5953979492188,16976154624,5100273664,7875493888,0
201,1740440414801,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,13.577232360839844,1.3606719970703125,20.101409912109375,0.35742950439453125,22.127334594726563,5.763359069824219,4.293449401855469,1.2806396484375,0.9906387329101563,1.6701126098632813,9.793685913085938,3.08514404296875,7085.326843261719,4096,241,56,3,84259.95989990234,75579.04864501953,689.6162719726563,16976154624,5100273664,7874551808,0
200,1740440415002,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.707862854003906,0.4204559326171875,19.02619171142578,0.34685516357421875,5.097084045410156,5.799568176269531,6.5289459228515625,1.2224960327148438,1.1700286865234375,2.7413101196289063,6.999061584472656,1.805023193359375,7085.541320800781,4096,241,56,4,84261.0326538086,75579.86926269531,689.6408081054688,16976154624,5100273664,7873499136,0
200,1740440415203,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.455474853515625,0.4213104248046875,18.218414306640625,0.303680419921875,2.82177734375,5.217475891113281,3.168670654296875,8.432327270507813,1.0862045288085938,1.7810440063476563,6.642333984375,2.0409164428710938,7085.741149902344,4096,241,56,4,84262.18072509766,75580.76940917969,689.6640014648438,16976154624,5100273664,7873474560,0
200,1740440415404,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.4683685302734375,0.49318695068359375,27.218002319335938,0.44078826904296875,3.4880599975585938,7.696311950683594,4.2651519775390625,1.6500015258789063,0.6559906005859375,2.2279739379882813,9.125823974609375,4.311271667480469,7085.945556640625,4096,241,56,3,84263.02435302734,75581.35284423828,689.68896484375,16976154624,5100273664,7873437696,0
200,1740440415605,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.8592071533203125,2.2780227661132813,22.63257598876953,2.2947921752929688,2.679046630859375,5.220970153808594,6.7356109619140625,1.6324539184570313,2.0422897338867188,1.79644775390625,11.826675415039063,2.3063888549804688,7086.150573730469,4096,241,56,4,84263.99731445313,75582.0365600586,689.7137451171875,16976154624,5100273664,7875686400,0
200,1740440415806,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.707862854003906,0.8192672729492188,27.226646423339844,0.8510665893554688,7.9295806884765625,4.82177734375,5.4878387451171875,1.1272659301757813,0.9151687622070313,3.3578033447265625,8.940444946289063,2.3782424926757813,7086.351257324219,4096,241,56,3,84264.59979248047,75582.39141845703,689.7362670898438,16976154624,5100273664,7875637248,0
200,1740440416007,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.259574890136719,0.46340179443359375,20.891014099121094,0,15.425178527832031,4.513908386230469,3.1817474365234375,0.932525634765625,2.1978912353515625,2.1792373657226563,7.8545684814453125,2.237579345703125,7086.564270019531,4096,241,56,4,84266.07690429688,75583.61236572266,689.7611694335938,16976154624,5100273664,7873388544,0
200,1740440416208,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.372711181640625,1.5116348266601563,22.45030975341797,0.6570587158203125,6.290077209472656,5.495216369628906,3.1967544555664063,2.2028656005859375,1.4781646728515625,3.0518341064453125,17.121360778808594,2.5097122192382813,7086.7601318359375,4096,241,56,3,84266.787109375,75584.08660888672,689.782958984375,16976154624,5100273664,7872630784,0
200,1740440416408,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.4424896240234375,0.9154586791992188,19.857757568359375,0.40946197509765625,1.8039627075195313,5.5152740478515625,3.3612594604492188,1.0959701538085938,1.2994613647460938,2.4448623657226563,8.199661254882813,1.6829605102539063,7086.9686279296875,4096,241,56,4,84267.51745605469,75584.56915283203,689.803466796875,16976154624,5100273664,7872630784,0
200,1740440416609,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,9.970146179199219,0.21781158447265625,15.425628662109375,0.9756927490234375,1.4015655517578125,5.309425354003906,4.511192321777344,1.2996749877929688,0.42682647705078125,0.7537689208984375,9.060470581054688,3.5478057861328125,7087.176086425781,4096,241,56,4,84268.58312988281,75585.37731933594,689.8250122070313,16976154624,5100273664,7875727360,0
200,1740440416809,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.9371795654296875,0.42436981201171875,18.391822814941406,4.468597412109375,3.7084732055664063,4.584281921386719,4.8671722412109375,1.7958221435546875,0.828338623046875,1.0863876342773438,7.204139709472656,7.898628234863281,7087.3807373046875,4096,241,56,4,84269.3646850586,75585.88763427734,689.8475341796875,16976154624,5100273664,7875727360,0
200,1740440417011,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.237495422363281,1.896270751953125,19.642982482910156,0.18897247314453125,15.556991577148438,5.092689514160156,1.9463424682617188,1.0903549194335938,0.6832656860351563,2.9850921630859375,5.919921875,2.55560302734375,7087.5955810546875,4096,241,56,4,84270.7900390625,75587.05877685547,689.87255859375,16976154624,5100273664,7873462272,0
