Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742381726994,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,11.657135009765625,70.77630615234375,30.476768493652344,3.8733596801757813,43.14031982421875,5.276519775390625,24.915809631347656,3.2840805053710938,6.6244354248046875,29.101661682128906,18.734039306640625,6.21551513671875,4062.1040649414063,6144,189,5526,60,0,66855.32434082031,21987.65362548828,606.6124267578125,17012051968,4227051520,13103763456,2059100160
199,1742381726994,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,8.7039794921875,72.02249145507813,17.53704071044922,4.768455505371094,62.33962631225586,5.08349609375,46.36716842651367,2.5018997192382813,57.24269104003906,23.97259521484375,45.606754302978516,5.1735076904296875,4062.1485595703125,6144,189,5526,60,0,66856.11926269531,21988.056579589844,606.6124267578125,17012051968,4227051520,13104304128,2060267520
199,1742381727194,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,6.73809814453125,64.64016723632813,26.515701293945313,3.7664871215820313,96.80838012695313,1.9301223754882813,17.46930694580078,21.789260864257813,24.287841796875,11.100700378417969,25.23065185546875,2.5893402099609375,4062.3589477539063,6144,189,5572,60,0,66860.89672851563,21990.44189453125,606.6124267578125,17012051968,4227051520,13111746560,2070228992
199,1742381727394,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,33.62306213378906,47.021793365478516,32.095069885253906,24.361175537109375,75.64105987548828,12.192863464355469,65.64131164550781,27.966964721679688,49.72734069824219,10.598678588867188,53.226097106933594,8.71337890625,4062.61865234375,6144,189,5538,60,0,66866.55993652344,21993.661743164063,606.6207885742188,17012051968,4227051520,13126037504,2099990528
200,1742381727594,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,17.050582885742188,59.602439880371094,23.039154052734375,12.869880676269531,77.53688049316406,20.449783325195313,47.863914489746094,38.86696243286133,26.725418090820313,29.32159423828125,18.620941162109375,14.00213623046875,4062.8885498046875,6144,189,5549,60,0,66871.71380615234,21996.363037109375,606.6549682617188,17012051968,4227051520,13121552384,2085277696
200,1742381727795,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,23.130348205566406,49.75461196899414,31.600677490234375,6.3086395263671875,66.92167663574219,4.337959289550781,30.402191162109375,4.050880432128906,20.108665466308594,10.831291198730469,21.81036376953125,5.218070983886719,4063.1329345703125,6144,189,5580,60,0,66876.2904663086,21998.495361328125,606.6890258789063,17012051968,4227051520,13122564096,2088337408
200,1742381727995,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,6.036003112792969,50.10458755493164,5.8649749755859375,4.3958892822265625,46.64082336425781,53.804664611816406,21.55157470703125,14.217506408691406,35.43920135498047,9.372779846191406,14.089523315429688,3.6880035400390625,4063.330810546875,6144,189,5567,60,0,66880.8198852539,22000.632690429688,606.6929931640625,17012051968,4227051520,13129568256,2098016256
200,1742381728196,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,17.854949951171875,60.154300689697266,25.560813903808594,7.937103271484375,47.141929626464844,44.124088287353516,58.63445281982422,12.499626159667969,28.048980712890625,18.90764617919922,26.570899963378906,8.220245361328125,4063.6082153320313,6144,189,5505,60,0,66885.89422607422,22003.240356445313,606.7383422851563,17012051968,4227051520,13142585344,2149634048
200,1742381728396,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,12.728767395019531,64.04360961914063,11.804008483886719,10.838348388671875,58.96940231323242,5.524345397949219,39.95193862915039,7.288673400878906,49.85232925415039,7.307838439941406,17.926559448242188,9.523757934570313,4063.8971557617188,6144,189,5482,60,0,66890.61260986328,22005.45831298828,606.8021850585938,17012051968,4227051520,13144457216,2116169728
200,1742381728596,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,26.99408721923828,49.3864631652832,48.279415130615234,6.235237121582031,78.44688415527344,3.391265869140625,47.045345306396484,9.834144592285156,34.696807861328125,11.321159362792969,22.93658447265625,8.679344177246094,4064.1907348632813,6144,189,5473,60,0,66895.8032836914,22008.132934570313,606.8720703125,17012051968,4227051520,13147602944,2119933952
